date,dia,dia-mes,valor,nivel,pluviometria,fases
2006-11-01,1,1/11,1,401.5,4.0,Ñia Kuma
2006-11-02,2,2/11,1,401,12.1,Aña Siõkha
2006-11-03,3,3/11,1,393,23.7,Aña
2006-11-04,4,4/11,1,387,5.5,Ñia Kuma
2006-11-05,5,5/11,1,382.5,0.0,Ñia Kuma
2006-11-06,6,6/11,1,395,2.4,Ñia Kuma
2006-11-07,7,7/11,1,400,0.0,Ñia Kuma
2006-11-08,8,8/11,1,408,5.7,Ñia Kuma
2006-11-09,9,9/11,1,412,18.8,Ñia Kuma
2006-11-10,10,10/11,1,416,0.9,Ñia Kuma
2006-11-11,11,11/11,1,419.5,38.5,Ñia Kuma
2006-11-12,12,12/11,1,429,0.0,Ñia Kuma
2006-11-13,13,13/11,1,421.5,11.3,Ñia Kuma
2006-11-14,14,14/11,1,415.5,0.0,Ñia Kuma
2006-11-15,15,15/11,1,409,0.0,Ñia Kuma
2006-11-16,16,16/11,1,414,0.0,Ñia Kuma
2006-11-17,17,17/11,1,421,5.0,Aña Siõkha
2006-11-18,18,18/11,1,427.5,46.4,Aña Siõkha
2006-11-19,19,19/11,1,445,0.0,Aña Siõkha
2006-11-20,20,20/11,1,449.5,7.4,Aña Siõkha
2006-11-21,21,21/11,1,456,0.0,Aña Siõkha
2006-11-22,22,22/11,1,459,1.8,Aña Siõkha
2006-11-23,23,23/11,1,461,6.1,Aña Siõkha
2006-11-24,24,24/11,1,458.5,0.0,
2006-11-25,25,25/11,1,454,0.0,
2006-11-26,26,26/11,1,449.5,3.7,
2006-11-27,27,27/11,1,449.5,7.5,
2006-11-28,28,28/11,1,461.5,87.5,
2006-11-29,29,29/11,1,471,0.0,
2006-11-30,30,30/11,1,475,0.0,
2006-12-01,31,1/12,1,480.5,0.0,
2006-12-02,32,2/12,1,484,16.8,
2006-12-03,33,3/12,1,484,24.7,
2006-12-04,34,4/12,1,479.5,16.2,
2006-12-05,35,5/12,1,475,0.0,
2006-12-06,36,6/12,1,470.5,20.7,
2006-12-07,37,7/12,1,467.5,5.3,
2006-12-08,38,8/12,1,464.5,0.0,
2006-12-09,39,9/12,1,461,0.0,
2006-12-10,40,10/12,1,455,12.3,Aña
2006-12-11,41,11/12,1,456,49.1,Aña
2006-12-12,42,12/12,1,473.5,0.0,Aña
2006-12-13,43,13/12,1,503,0.0,Aña
2006-12-14,44,14/12,1,530,3.4,Aña
2006-12-15,45,15/12,1,535,3.6,Aña
2006-12-16,46,16/12,1,528.5,0.0,
2006-12-17,47,17/12,1,519,8.6,
2006-12-18,48,18/12,1,509.5,34.1,
2006-12-19,49,19/12,1,505,17.0,Aña Pihkorõ
2006-12-20,50,20/12,1,542.4,37.2,Aña Pihkorõ
2006-12-21,51,21/12,1,569,3.7,Aña Pihkorõ
2006-12-22,52,22/12,1,651.5,35.8,Aña Pihkorõ
2006-12-23,53,23/12,1,657,15.2,Aña Pihkorõ
2006-12-24,54,24/12,1,669,0.0,Aña Pihkorõ
2006-12-25,55,25/12,1,693,3.7,Aña Pihkorõ
2006-12-26,56,26/12,1,733.5,83.5,Aña Pihkorõ
2006-12-27,57,27/12,1,774,2.9,Aña Pihkorõ
2006-12-28,58,28/12,1,782.5,3.3,Aña Pihkorõ
2006-12-29,59,29/12,1,787,0.0,Aña Pihkorõ
2006-12-30,60,30/12,1,791,0.0,Aña Pihkorõ
2006-12-31,61,31/12,1,797,0.0,Aña Pihkorõ
2007-01-01,62,1/1,1,777.5,19.0,Mere Kuma
2007-01-02,63,2/1,1,705,3.5,Mere Kuma
2007-01-03,64,3/1,1,643,9.2,Mere Kuma
2007-01-04,65,4/1,1,631.5,0.0,Mere Kuma
2007-01-05,66,5/1,1,623,7.2,Mere Kuma
2007-01-06,67,6/1,1,613.5,0.0,Mere Kuma
2007-01-07,68,7/1,1,605.5,0.0,Mere Kuma
2007-01-08,69,8/1,1,572,2.9,Mere Kuma
2007-01-09,70,9/1,1,557,0.0,Mere Kuma
2007-01-10,71,10/1,1,615,0.0,Pamõ
2007-01-11,72,11/1,1,645.5,0.3,Pamõ
2007-01-12,73,12/1,1,641.5,0.0,Pamõ
2007-01-13,74,13/1,1,644,0.0,Pamõ
2007-01-14,75,14/1,1,655,27.7,Pamõ
2007-01-15,76,15/1,1,690,28.5,Pamõ
2007-01-16,77,16/1,1,713.5,7.5,Pamõ
2007-01-17,78,17/1,1,746,46.1,Pamõ
2007-01-18,79,18/1,1,759.5,13.0,Pamõ
2007-01-19,80,19/1,1,778,0.0,Pamõ
2007-01-20,81,20/1,1,793,19.1,Pamõ
2007-01-21,82,21/1,1,805,13.0,Pamõ
2007-01-22,83,22/1,1,801,25.2,
2007-01-23,84,23/1,1,796.5,0.0,
2007-01-24,85,24/1,1,791.5,33.3,
2007-01-25,86,25/1,1,791,0.0,
2007-01-26,87,26/1,1,784.5,36.9,Pamõ Oãduhka
2007-01-27,88,27/1,1,799,29.3,Pamõ Oãduhka
2007-01-28,89,28/1,1,835.5,33.5,Pamõ Oãduhka
2007-01-29,90,29/1,1,876,29.9,Pamõ Oãduhka
2007-01-30,91,30/1,1,894.5,0.9,Pamõ Oãduhka
2007-01-31,92,31/1,1,912.5,33.5,Pamõ Oãduhka
2007-02-01,93,1/2,1,919.5,10.8,Pamõ Oãduhka
2007-02-02,94,2/2,1,915.5,0.0,
2007-02-03,95,3/2,1,908.5,47.7,
2007-02-04,96,4/2,1,920.5,60.0,
2007-02-05,97,5/2,1,920,0.0,
2007-02-06,98,6/2,1,931,5.3,
2007-02-07,99,7/2,1,933.5,0.5,
2007-02-08,100,8/2,1,921,0.0,Ure Kuma
2007-02-09,101,9/2,1,904,0.0,Ure Kuma
2007-02-10,102,10/2,1,880.5,36.5,Ure Kuma
2007-02-11,103,11/2,1,859.5,7.7,Ure Kuma
2007-02-12,104,12/2,1,839.5,57.4,Ure Kuma
2007-02-13,105,13/2,1,833,0.0,Ure Kuma
2007-02-14,106,14/2,1,803,0.0,Ure Kuma
2007-02-15,107,15/2,1,749,0.0,Ure Kuma
2007-02-16,108,16/2,1,657,0.0,Ure Kuma
2007-02-17,109,17/2,1,579,5.7,Ure Kuma
2007-02-18,110,18/2,1,517.5,16.5,Ure Kuma
2007-02-19,111,19/2,1,483.5,0.0,Ure Kuma
2007-02-20,112,20/2,1,458,0.0,Ure Kuma
2007-02-21,113,21/2,1,439,0.0,Ure Kuma
2007-02-22,114,22/2,1,415.5,0.0,Ure Kuma
2007-02-23,115,23/2,1,409.5,0.0,Ure Kuma
2007-02-24,116,24/2,1,408,19.0,Ure Kuma
2007-02-25,117,25/2,1,432.5,0.0,Muha
2007-02-26,118,26/2,1,510,43.7,Muha
2007-02-27,119,27/2,1,597.5,0.7,Muha
2007-02-28,120,28/2,1,627,0.0,Muha
2007-03-01,122,1/3,1,609,34.7,Ahsitaro
2007-03-02,123,2/3,1,557.5,8.5,Ahsitaro
2007-03-03,124,3/3,1,501,0.0,Ahsitaro
2007-03-04,125,4/3,1,467.5,0.0,Ahsitaro
2007-03-05,126,5/3,1,441,0.0,Ahsitaro
2007-03-06,127,6/3,1,453.5,2.3,Dahsiu
2007-03-07,128,7/3,1,488.5,33.9,Dahsiu
2007-03-08,129,8/3,1,529,12.0,Dahsiu
2007-03-09,130,9/3,1,565,66.5,Dahsiu
2007-03-10,131,10/3,1,583,0.0,Dahsiu
2007-03-11,132,11/3,1,589,14.1,Dahsiu
2007-03-12,133,12/3,1,625.5,16.4,Dahsiu
2007-03-13,134,13/3,1,643.5,13.5,Dahsiu
2007-03-14,135,14/3,1,626.5,0.7,Dahsiu
2007-03-15,136,15/3,1,603,37.3,Dahsiu
2007-03-16,137,16/3,1,637.5,0.0,Dahsiu
2007-03-17,138,17/3,1,645,0.0,Dahsiu
2007-03-18,139,18/3,1,648.5,0.0,Dahsiu
2007-03-19,140,19/3,1,662,4.3,Dahsiu
2007-03-20,141,20/3,1,685,40.3,Dahsiu
2007-03-21,142,21/3,1,704,0.9,Dahsiu
2007-03-22,143,22/3,1,741,8.4,Dahsiu
2007-03-23,144,23/3,1,795,32.3,Dahsiu
2007-03-24,145,24/3,1,834.5,10.1,Dahsiu
2007-03-25,146,25/3,1,841,0.0,Dahsiu
2007-03-26,147,26/3,1,817.5,0.0,Dahsiu
2007-03-27,148,27/3,1,799.5,0.0,
2007-03-28,149,28/3,1,803.5,70.5,
2007-03-29,150,29/3,1,804,0.0,Wamu Kuma
2007-03-30,151,30/3,1,791,8.9,Wamu Kuma
2007-03-31,152,31/3,1,734.5,0.0,Wamu Kuma
2007-04-01,153,1/4,1,674.5,0.0,Wamu Kuma
2007-04-02,154,2/4,1,611.5,0.0,Wamu Kuma
2007-04-03,155,3/4,1,577,13.5,Wamu Kuma
2007-04-04,156,4/4,1,526,0.0,Wamu Kuma
2007-04-05,157,5/4,1,497,0.0,Wamu Kuma
2007-04-06,158,6/4,1,524,0.0,
2007-04-07,159,7/4,1,584,11.8,
2007-04-08,160,8/4,1,571.5,0.0,
2007-04-09,161,9/4,1,524,42.8,
2007-04-10,162,10/4,1,487.5,0.0,
2007-04-11,163,11/4,1,440,7.1,
2007-04-12,164,12/4,1,416,0.0,
2007-04-13,165,13/4,1,421.5,0.0,
2007-04-14,166,14/4,1,450,0.0,
2007-04-15,167,15/4,1,492.5,0.0,
2007-04-16,168,16/4,1,476,0.0,
2007-04-17,169,17/4,1,452,8.3,
2007-04-18,170,18/4,1,423.5,0.0,
2007-04-19,171,19/4,1,397,0.0,Yai
2007-04-20,172,20/4,1,403.5,13.6,Yai
2007-04-21,173,21/4,1,408.5,0.0,Yai
2007-04-22,174,22/4,1,473.5,0.0,Yai
2007-04-23,175,23/4,1,540,0.0,Yai
2007-04-24,176,24/4,1,649,14.1,Yai
2007-04-25,177,25/4,1,700,0.0,Yai
2007-04-26,178,26/4,1,743,18.5,Yai
2007-04-27,179,27/4,1,787,17.4,Yai
2007-04-28,180,28/4,1,805,9.9,Yai
2007-04-29,181,29/4,1,824,0.0,Yai
2007-04-30,182,30/4,1,821,9.8,Yai
2007-05-01,183,1/5,1,821,8.2,Yai
2007-05-02,184,2/5,1,818,5.9,Yai
2007-05-03,185,3/5,1,819,0.0,Yai
2007-05-04,186,4/5,1,833,5.2,Ñokõatero
2007-05-05,187,5/5,1,854,0.0,Ñokõatero
2007-05-06,188,6/5,1,885,77.4,Ñokõatero
2007-05-07,189,7/5,1,948.5,16.9,Ñokõatero
2007-05-08,190,8/5,1,980.5,0.0,Ñokõatero
2007-05-09,191,9/5,1,1016.5,0.0,Ñokõatero
2007-05-10,192,10/5,1,1037.5,3.8,Ñokõatero
2007-05-11,193,11/5,1,1047.5,0.0,Ñokõatero
2007-05-12,194,12/5,1,1040.5,0.0,Ñokõatero
2007-05-13,195,13/5,1,1023.5,0.0,Ñokõatero
2007-05-14,196,14/5,1,983.5,0.0,Kãre Kuma
2007-05-15,197,15/5,1,956,0.0,Kãre Kuma
2007-05-16,198,16/5,1,919.5,22.0,Kãre Kuma
2007-05-17,199,17/5,1,858.5,8.9,Kãre Kuma
2007-05-18,200,18/5,1,806,33.1,Kãre Kuma
2007-05-19,201,19/5,1,766,2.0,Kãre Kuma
2007-05-20,202,20/5,1,738.5,0.0,Kãre Kuma
2007-05-21,203,21/5,1,734,2.2,Wai Kahsa
2007-05-22,204,22/5,1,772,0.0,Wai Kahsa
2007-05-23,205,23/5,1,804.5,9.6,Wai Kahsa
2007-05-24,206,24/5,1,822,10.3,Wai Kahsa
2007-05-25,207,25/5,1,826.5,0.0,Wai Kahsa
2007-05-26,208,26/5,1,819,28.3,Wai Kahsa
2007-05-27,209,27/5,1,815.5,0.0,Wai Kahsa
2007-05-28,210,28/5,1,801.5,4.5,
2007-05-29,211,29/5,1,777.5,0.0,
2007-05-30,212,30/5,1,763,0.0,
2007-05-31,213,31/5,1,748,0.0,
2007-06-01,214,1/6,1,717,0.0,
2007-06-02,215,2/6,1,665,8.8,Sio Yahpu
2007-06-03,216,3/6,1,668,26.0,Sio Yahpu
2007-06-04,217,4/6,1,705,0.0,Sio Yahpu
2007-06-05,218,5/6,1,722,0.0,Sio Yahpu
2007-06-06,219,6/6,1,726,2.7,Sio Yahpu
2007-06-07,220,7/6,1,740,0.0,Sio Yahpu
2007-06-08,221,8/6,1,747,43.9,Sio Yahpu
2007-06-09,222,9/6,1,808,20.5,Sio Yahpu
2007-06-10,223,10/6,1,845,0.0,Sio Yahpu
2007-06-11,224,11/6,1,846,11.2,Sio Yahpu
2007-06-12,225,12/6,1,822,1.2,
2007-06-13,226,13/6,1,797,1.9,
2007-06-14,227,14/6,1,782,0.0,
2007-06-15,228,15/6,1,780,11.8,Sio Yahpu
2007-06-16,229,16/6,1,787,6.7,Sio Yahpu
2007-06-17,230,17/6,1,794,10.5,Sio Yahpu
2007-06-18,231,18/6,1,798,14.1,Sio Yahpu
2007-06-19,232,19/6,1,799,39.0,Sio Yahpu
2007-06-20,233,20/6,1,842,34.1,Sio Yahpu
2007-06-21,234,21/6,1,869,14.0,Sio Yahpu
2007-06-22,235,22/6,1,886,2.4,Sio Yahpu
2007-06-23,236,23/6,1,892,0.0,Sio Yahpu
2007-06-24,237,24/6,1,892,12.6,Sio Yahpu
2007-06-25,238,25/6,1,887,0.0,
2007-06-26,239,26/6,1,860,0.0,
2007-06-27,240,27/6,1,850,24.6,
2007-06-28,241,28/6,1,839,1.7,
2007-06-29,242,29/6,1,829,23.2,
2007-06-30,243,30/6,1,820,6.5,Sio Yahpu
2007-07-01,244,1/7,1,781,1.7,Sio Yahpu
2007-07-02,245,2/7,1,790,0.0,Sio Yahpu
2007-07-03,246,3/7,1,802,48.6,Sio Yahpu
2007-07-04,247,4/7,1,838,0.8,Sio Yahpu
2007-07-05,248,5/7,1,859,13.9,Sio Yahpu
2007-07-06,249,6/7,1,917,20.3,Sio Yahpu
2007-07-07,250,7/7,1,957,0.0,Sio Yahpu
2007-07-08,251,8/7,1,986,17.9,Sio Yahpu
2007-07-09,252,9/7,1,1007,13.7,Sio Yahpu
2007-07-10,253,10/7,1,1039,11.8,Sio Yahpu
2007-07-11,254,11/7,1,1067,11.6,Sio Yahpu
2007-07-12,255,12/7,1,1080,9.4,Sio Yahpu
2007-07-13,256,13/7,1,1083,0.6,Sio Yahpu
2007-07-14,257,14/7,1,1075,0.0,Sio Yahpu
2007-07-15,258,15/7,1,1062,3.6,Sio Yahpu
2007-07-16,259,16/7,1,1055,3.6,Sio Yahpu
2007-07-17,260,17/7,1,1034,41.4,Sio Yahpu
2007-07-18,261,18/7,1,1020,5.7,Sio Yahpu
2007-07-19,262,19/7,1,1008,2.8,Sio Yahpu
2007-07-20,263,20/7,1,990,4.4,Sio Yahpu
2007-07-21,264,21/7,1,970,13.4,Sio Yahpu
2007-07-22,265,22/7,1,952,13.5,
2007-07-23,266,23/7,1,936,0.0,Sararo Kuma
2007-07-24,267,24/7,1,897,13.5,Sararo Kuma
2007-07-25,268,25/7,1,860,0.0,Sararo Kuma
2007-07-26,269,26/7,1,817,0.0,Sararo Kuma
2007-07-27,270,27/7,1,788,0.0,Sararo Kuma
2007-07-28,271,28/7,1,750,7.1,Sararo Kuma
2007-07-29,272,29/7,1,748,12.6,Sararo Kuma
2007-07-30,273,30/7,1,764,3.0,Sararo Kuma
2007-07-31,274,31/7,1,779,0.0,Sararo Kuma
2007-08-01,275,1/8,1,777,0.1,Hia Kuma
2007-08-02,276,2/8,1,768,3.0,Hia Kuma
2007-08-03,277,3/8,1,750,6.0,Hia Kuma
2007-08-04,278,4/8,1,733,10.2,Hia Kuma
2007-08-05,279,5/8,1,688,15.6,Hia Kuma
2007-08-06,280,6/8,1,675,48.5,Hia Kuma
2007-08-07,281,7/8,1,665,34.2,Hia Kuma
2007-08-08,282,8/8,1,657,22.9,Hia Kuma
2007-08-09,283,9/8,1,642,0.0,Hia Kuma
2007-08-10,284,10/8,1,635,0.0,Hia Kuma
2007-08-11,285,11/8,1,655,50.6,Yhe
2007-08-12,286,12/8,1,672,0.0,Yhe
2007-08-13,287,13/8,1,665,37.0,Yhe
2007-08-14,288,14/8,1,642,0.0,Hia Kuma
2007-08-15,289,15/8,1,623,0.0,Hia Kuma
2007-08-16,290,16/8,1,609,0.0,Hia Kuma
2007-08-17,291,17/8,1,581,0.0,Hia Kuma
2007-08-18,292,18/8,1,557,17.7,Hia Kuma
2007-08-19,293,19/8,1,590,0.0,Yhe
2007-08-20,294,20/8,1,620,1.5,Yhe
2007-08-21,295,21/8,1,632,0.0,Yhe
2007-08-22,296,22/8,1,630,24.0,Yhe
2007-08-23,297,23/8,1,592,0.0,Hia Yuñari Kuma
2007-08-24,298,24/8,1,577,2.1,Hia Yuñari Kuma
2007-08-25,299,25/8,1,568,0.0,Hia Yuñari Kuma
2007-08-26,300,26/8,1,550,0.0,Hia Yuñari Kuma
2007-08-27,301,27/8,1,540,0.0,Hia Yuñari Kuma
2007-08-28,302,28/8,1,520,0.0,Hia Yuñari Kuma
2007-08-29,303,29/8,1,507,0.0,Hia Yuñari Kuma
2007-08-30,304,30/8,1,509,20.3,Hia Yuñari Kuma
2007-08-31,305,31/8,1,481,0.0,Hia Yuñari Kuma
2007-09-01,306,1/9,1,446,0.0,Hia Yuñari Kuma
2007-09-02,307,2/9,1,420,0.0,Hia Yuñari Kuma
2007-09-03,308,3/9,1,420,14.4,Yurara
2007-09-04,309,4/9,1,449,0.0,Yurara
2007-09-05,310,5/9,1,481,16.2,Yurara
2007-09-06,311,6/9,1,534,24.3,Yurara
2007-09-07,312,7/9,1,592,0.0,Yurara
2007-09-08,313,8/9,1,602,2.7,Yurara
2007-09-09,314,9/9,1,581,0.0,
2007-09-10,315,10/9,1,550,5.0,
2007-09-11,316,11/9,1,537,0.5,
2007-09-12,317,12/9,1,530,32.4,Hia Diara Kuma
2007-09-13,318,13/9,1,573,3.4,Hia Diara Kuma
2007-09-14,319,14/9,1,636,0.1,Hia Diara Kuma
2007-09-15,320,15/9,1,647,0.0,Hia Diara Kuma
2007-09-16,321,16/9,1,588,0.0,Hia Diara Kuma
2007-09-17,322,17/9,1,514,6.7,Hia Diara Kuma
2007-09-18,323,18/9,1,483,11.2,Hia Diara Kuma
2007-09-19,324,19/9,1,452,1.6,Hia Diara Kuma
2007-09-20,325,20/9,1,435,0.5,Hia Diara Kuma
2007-09-21,326,21/9,1,418,7.4,Hia Diara Kuma
2007-09-22,327,22/9,1,402,0.1,Hia Diara Kuma
2007-09-23,328,23/9,1,382,7.5,Hia Diara Kuma
2007-09-24,329,24/9,1,361,0.0,Hia Diara Kuma
2007-09-25,330,25/9,1,353,0.0,Hia Diara Kuma
2007-09-26,331,26/9,1,347,0.8,Hia Diara Kuma
2007-09-27,332,27/9,1,354,0.0,Hia Diara Kuma
2007-09-28,333,28/9,1,368,0.0,Hia Diara Kuma
2007-09-29,334,29/9,1,381,0.5,Hia Diara Kuma
2007-09-30,335,30/9,1,399,7.0,Hia Diara Kuma
2007-10-01,336,1/10,1,449,44.3,
2007-10-02,337,2/10,1,465.5,0.0,
2007-10-03,338,3/10,1,473.5,12.0,Hia Utaphea Keose Kuma
2007-10-04,339,4/10,1,457.5,0.0,Hia Utaphea Keose Kuma
2007-10-05,340,5/10,1,421.5,0.0,Hia Utaphea Keose Kuma
2007-10-06,341,6/10,1,393.5,0.0,Hia Utaphea Keose Kuma
2007-10-07,342,7/10,1,370.5,0.0,Hia Utaphea Keose Kuma
2007-10-08,343,8/10,1,361,5.8,Hia Utaphea Keose Kuma
2007-10-09,344,9/10,1,375,2.0,Hia Utaphea Keose Kuma
2007-10-10,345,10/10,1,388.5,1.4,Hia Utaphea Keose Kuma
2007-10-11,346,11/10,1,402.5,2.7,Bihpia
2007-10-12,347,12/10,1,415,0.0,Bihpia
2007-10-13,348,13/10,1,421.5,14.5,Bihpia
2007-10-14,349,14/10,1,409,0.0,Hia Kuma
2007-10-15,350,15/10,1,396.5,0.0,Hia Kuma
2007-10-16,351,16/10,1,394.5,7.9,Hia Kuma
2007-10-17,352,17/10,1,397,11.8,Hia Kuma
2007-10-18,353,18/10,1,377,0.0,Hia Kuma
2007-10-19,354,19/10,1,361.5,0.0,Hia Kuma
2007-10-20,355,20/10,1,353.5,0.0,Hia Kuma
2007-10-21,356,21/10,1,347.5,0.0,Hia Kuma
2007-10-22,357,22/10,1,366.5,3.4,Hia Kuma
2007-10-23,358,23/10,1,376.5,56.8,Hia Kuma
2007-10-24,359,24/10,1,420,0.0,Hia Kuma
2007-10-25,360,25/10,1,461,3.2,Hia Kuma
2007-10-26,361,26/10,1,434.5,0.0,Hia Kuma
2007-10-27,362,27/10,1,400,8.0,Hia Kuma
2007-10-28,363,28/10,1,359.5,0.0,Hia Kuma
2007-10-29,364,29/10,1,350.5,28.4,Hia Kuma
2007-10-30,365,30/10,1,357,0.0,Hia Kuma
2007-10-31,366,31/10,1,387.5,4.5,Hia Kuma