date,nivel,pluviometria,fases
2005-11-01,401.5,4.0,
2005-11-02,401,12.1,
2005-11-03,393,23.7,
2005-11-04,387,5.5,Ñia Kuma
2005-11-05,382.5,0.0,Ñia Kuma
2005-11-06,395,2.4,Ñia Kuma
2005-11-07,400,0.0,Ñia Kuma
2005-11-08,408,5.7,Ñia Kuma
2005-11-09,412,18.8,Ñia Kuma
2005-11-10,416,0.9,Ñia Kuma
2005-11-11,419.5,38.5,Ñia Kuma
2005-11-12,429,0.0,Ñia Kuma
2005-11-13,421.5,11.3,Ñia Kuma
2005-11-14,415.5,0.0,Ñia Kuma
2005-11-15,409,0.0,Ñia Kuma
2005-11-16,414,0.0,Ñia Kuma
2005-11-17,421,5.0,Aña Siõkha
2005-11-18,427.5,46.4,Aña Siõkha
2005-11-19,445,0.0,Aña Siõkha
2005-11-20,449.5,7.4,Aña Siõkha
2005-11-21,456,0.0,Aña Siõkha
2005-11-22,459,1.8,Aña Siõkha
2005-11-23,461,6.1,Aña Siõkha
2005-11-24,458.5,0.0,
2005-11-25,454,0.0,
2005-11-26,449.5,3.7,
2005-11-27,449.5,7.5,
2005-11-28,461.5,87.5,
2005-11-29,471,0.0,
2005-11-30,475,0.0,
2005-12-01,480.5,0.0,
2005-12-02,484,16.8,
2005-12-03,484,24.7,
2005-12-04,479.5,16.2,
2005-12-05,475,0.0,
2005-12-06,470.5,20.7,
2005-12-07,467.5,5.3,
2005-12-08,464.5,0.0,
2005-12-09,461,0.0,
2005-12-10,455,12.3,Aña
2005-12-11,456,49.1,Aña
2005-12-12,473.5,0.0,Aña
2005-12-13,503,0.0,Aña
2005-12-14,530,3.4,Aña
2005-12-15,535,3.6,Aña
2005-12-16,528.5,0.0,
2005-12-17,519,8.6,
2005-12-18,509.5,34.1,
2005-12-19,505,17.0,Aña Pihkorõ
2005-12-20,542.4,37.2,Aña Pihkorõ
2005-12-21,569,3.7,Aña Pihkorõ
2005-12-22,651.5,35.8,Aña Pihkorõ
2005-12-23,657,15.2,Aña Pihkorõ
2005-12-24,669,0.0,Aña Pihkorõ
2005-12-25,693,3.7,Aña Pihkorõ
2005-12-26,733.5,83.5,Aña Pihkorõ
2005-12-27,774,2.9,Aña Pihkorõ
2005-12-28,782.5,3.3,Aña Pihkorõ
2005-12-29,787,0.0,Aña Pihkorõ
2005-12-30,791,0.0,Aña Pihkorõ
2005-12-31,797,0.0,Aña Pihkorõ
2006-01-01,777.5,19.0,Mere Kuma
2006-01-02,705,3.5,Mere Kuma
2006-01-03,643,9.2,Mere Kuma
2006-01-04,631.5,0.0,Mere Kuma
2006-01-05,623,7.2,Mere Kuma
2006-01-06,613.5,0.0,Mere Kuma
2006-01-07,605.5,0.0,Mere Kuma
2006-01-08,572,2.9,Mere Kuma
2006-01-09,557,0.0,Mere Kuma
2006-01-10,615,0.0,Pamõ
2006-01-11,645.5,0.3,Pamõ
2006-01-12,641.5,0.0,Pamõ
2006-01-13,644,0.0,Pamõ
2006-01-14,655,27.7,Pamõ
2006-01-15,690,28.5,Pamõ
2006-01-16,713.5,7.5,Pamõ
2006-01-17,746,46.1,Pamõ
2006-01-18,759.5,13.0,Pamõ
2006-01-19,778,0.0,Pamõ
2006-01-20,793,19.1,Pamõ
2006-01-21,805,13.0,Pamõ
2006-01-22,801,25.2,
2006-01-23,796.5,0.0,
2006-01-24,791.5,33.3,
2006-01-25,791,0.0,
2006-01-26,784.5,36.9,Pamõ Oãduhka
2006-01-27,799,29.3,Pamõ Oãduhka
2006-01-28,835.5,33.5,Pamõ Oãduhka
2006-01-29,876,29.9,Pamõ Oãduhka
2006-01-30,894.5,0.9,Pamõ Oãduhka
2006-01-31,912.5,33.5,Pamõ Oãduhka
2006-02-01,919.5,10.8,Pamõ Oãduhka
2006-02-02,915.5,0.0,
2006-02-03,908.5,47.7,
2006-02-04,920.5,60.0,
2006-02-05,920,0.0,
2006-02-06,931,5.3,
2006-02-07,933.5,0.5,
2006-02-08,921,0.0,Ure Kuma
2006-02-09,904,0.0,Ure Kuma
2006-02-10,880.5,36.5,Ure Kuma
2006-02-11,859.5,7.7,Ure Kuma
2006-02-12,839.5,57.4,Ure Kuma
2006-02-13,833,0.0,Ure Kuma
2006-02-14,803,0.0,Ure Kuma
2006-02-15,749,0.0,Ure Kuma
2006-02-16,657,0.0,Ure Kuma
2006-02-17,579,5.7,Ure Kuma
2006-02-18,517.5,16.5,Ure Kuma
2006-02-19,483.5,0.0,Ure Kuma
2006-02-20,458,0.0,Ure Kuma
2006-02-21,439,0.0,Ure Kuma
2006-02-22,415.5,0.0,Ure Kuma
2006-02-23,409.5,0.0,Ure Kuma
2006-02-24,408,19.0,Ure Kuma
2006-02-25,432.5,0.0,Muha
2006-02-26,510,43.7,Muha
2006-02-27,597.5,0.7,Muha
2006-02-28,627,0.0,Muha
2006-03-01,609,34.7,Ahsitaro
2006-03-02,557.5,8.5,Ahsitaro
2006-03-03,501,0.0,Ahsitaro
2006-03-04,467.5,0.0,Ahsitaro
2006-03-05,441,0.0,Ahsitaro
2006-03-06,453.5,2.3,Dahsiu
2006-03-07,488.5,33.9,Dahsiu
2006-03-08,529,12.0,Dahsiu
2006-03-09,565,66.5,Dahsiu
2006-03-10,583,0.0,Dahsiu
2006-03-11,589,14.1,Dahsiu
2006-03-12,625.5,16.4,Dahsiu
2006-03-13,643.5,13.5,Dahsiu
2006-03-14,626.5,0.7,Dahsiu
2006-03-15,603,37.3,Dahsiu
2006-03-16,637.5,0.0,Dahsiu
2006-03-17,645,0.0,Dahsiu
2006-03-18,648.5,0.0,Dahsiu
2006-03-19,662,4.3,Dahsiu
2006-03-20,685,40.3,Dahsiu
2006-03-21,704,0.9,Dahsiu
2006-03-22,741,8.4,Dahsiu
2006-03-23,795,32.3,Dahsiu
2006-03-24,834.5,10.1,Dahsiu
2006-03-25,841,0.0,Dahsiu
2006-03-26,817.5,0.0,Dahsiu
2006-03-27,799.5,0.0,
2006-03-28,803.5,70.5,
2006-03-29,804,0.0,Wamu Kuma
2006-03-30,791,8.9,Wamu Kuma
2006-03-31,734.5,0.0,Wamu Kuma
2006-04-01,674.5,0.0,Wamu Kuma
2006-04-02,611.5,0.0,Wamu Kuma
2006-04-03,577,13.5,Wamu Kuma
2006-04-04,526,0.0,Wamu Kuma
2006-04-05,497,0.0,Wamu Kuma
2006-04-06,524,0.0,
2006-04-07,584,11.8,
2006-04-08,571.5,0.0,
2006-04-09,524,42.8,
2006-04-10,487.5,0.0,
2006-04-11,440,7.1,
2006-04-12,416,0.0,
2006-04-13,421.5,0.0,
2006-04-14,450,0.0,
2006-04-15,492.5,0.0,
2006-04-16,476,0.0,
2006-04-17,452,8.3,
2006-04-18,423.5,0.0,
2006-04-19,397,0.0,Yai
2006-04-20,403.5,13.6,Yai
2006-04-21,408.5,0.0,Yai
2006-04-22,473.5,0.0,Yai
2006-04-23,540,0.0,Yai
2006-04-24,649,14.1,Yai
2006-04-25,700,0.0,Yai
2006-04-26,743,18.5,Yai
2006-04-27,787,17.4,Yai
2006-04-28,805,9.9,Yai
2006-04-29,824,0.0,Yai
2006-04-30,821,9.8,Yai
2006-05-01,821,8.2,Yai
2006-05-02,818,5.9,Yai
2006-05-03,819,0.0,Yai
2006-05-04,833,5.2,Ñokõatero
2006-05-05,854,0.0,Ñokõatero
2006-05-06,885,77.4,Ñokõatero
2006-05-07,948.5,16.9,Ñokõatero
2006-05-08,980.5,0.0,Ñokõatero
2006-05-09,1016.5,0.0,Ñokõatero
2006-05-10,1037.5,3.8,Ñokõatero
2006-05-11,1047.5,0.0,Ñokõatero
2006-05-12,1040.5,0.0,Ñokõatero
2006-05-13,1023.5,0.0,Ñokõatero
2006-05-14,983.5,0.0,Kãre Kuma
2006-05-15,956,0.0,Kãre Kuma
2006-05-16,919.5,22.0,Kãre Kuma
2006-05-17,858.5,8.9,Kãre Kuma
2006-05-18,806,33.1,Kãre Kuma
2006-05-19,766,2.0,Kãre Kuma
2006-05-20,738.5,0.0,Kãre Kuma
2006-05-21,734,2.2,Wai Kahsa
2006-05-22,772,0.0,Wai Kahsa
2006-05-23,804.5,9.6,Wai Kahsa
2006-05-24,822,10.3,Wai Kahsa
2006-05-25,826.5,0.0,Wai Kahsa
2006-05-26,819,28.3,Wai Kahsa
2006-05-27,815.5,0.0,Wai Kahsa
2006-05-28,801.5,4.5,
2006-05-29,777.5,0.0,
2006-05-30,763,0.0,
2006-05-31,748,0.0,
2006-06-01,717,0.0,
2006-06-02,665,8.8,Sio Yahpu
2006-06-03,668,26.0,Sio Yahpu
2006-06-04,705,0.0,Sio Yahpu
2006-06-05,722,0.0,Sio Yahpu
2006-06-06,726,2.7,Sio Yahpu
2006-06-07,740,0.0,Sio Yahpu
2006-06-08,747,43.9,Sio Yahpu
2006-06-09,808,20.5,Sio Yahpu
2006-06-10,845,0.0,Sio Yahpu
2006-06-11,846,11.2,Sio Yahpu
2006-06-12,822,1.2,
2006-06-13,797,1.9,
2006-06-14,782,0.0,
2006-06-15,780,11.8,Sio Yahpu
2006-06-16,787,6.7,Sio Yahpu
2006-06-17,794,10.5,Sio Yahpu
2006-06-18,798,14.1,Sio Yahpu
2006-06-19,799,39.0,Sio Yahpu
2006-06-20,842,34.1,Sio Yahpu
2006-06-21,869,14.0,Sio Yahpu
2006-06-22,886,2.4,Sio Yahpu
2006-06-23,892,0.0,Sio Yahpu
2006-06-24,892,12.6,Sio Yahpu
2006-06-25,887,0.0,
2006-06-26,860,0.0,
2006-06-27,850,24.6,
2006-06-28,839,1.7,
2006-06-29,829,23.2,
2006-06-30,820,6.5,Sio Yahpu
2006-07-01,781,1.7,Sio Yahpu
2006-07-02,790,0.0,Sio Yahpu
2006-07-03,802,48.6,Sio Yahpu
2006-07-04,838,0.8,Sio Yahpu
2006-07-05,859,13.9,Sio Yahpu
2006-07-06,917,20.3,Sio Yahpu
2006-07-07,957,0.0,Sio Yahpu
2006-07-08,986,17.9,Sio Yahpu
2006-07-09,1007,13.7,Sio Yahpu
2006-07-10,1039,11.8,Sio Yahpu
2006-07-11,1067,11.6,Sio Yahpu
2006-07-12,1080,9.4,Sio Yahpu
2006-07-13,1083,0.6,Sio Yahpu
2006-07-14,1075,0.0,Sio Yahpu
2006-07-15,1062,3.6,Sio Yahpu
2006-07-16,1055,3.6,Sio Yahpu
2006-07-17,1034,41.4,Sio Yahpu
2006-07-18,1020,5.7,Sio Yahpu
2006-07-19,1008,2.8,Sio Yahpu
2006-07-20,990,4.4,Sio Yahpu
2006-07-21,970,13.4,Sio Yahpu
2006-07-22,952,13.5,
2006-07-23,936,0.0,Sararo Kuma
2006-07-24,897,13.5,Sararo Kuma
2006-07-25,860,0.0,Sararo Kuma
2006-07-26,817,0.0,Sararo Kuma
2006-07-27,788,0.0,Sararo Kuma
2006-07-28,750,7.1,Sararo Kuma
2006-07-29,748,12.6,Sararo Kuma
2006-07-30,764,3.0,Sararo Kuma
2006-07-31,779,0.0,Sararo Kuma
2006-08-01,777,0.1,Hia Kuma
2006-08-02,768,3.0,Hia Kuma
2006-08-03,750,6.0,Hia Kuma
2006-08-04,733,10.2,Hia Kuma
2006-08-05,688,15.6,Hia Kuma
2006-08-06,675,48.5,Hia Kuma
2006-08-07,665,34.2,Hia Kuma
2006-08-08,657,22.9,Hia Kuma
2006-08-09,642,0.0,Hia Kuma
2006-08-10,635,0.0,Hia Kuma
2006-08-11,655,50.6,Yhe
2006-08-12,672,0.0,Yhe
2006-08-13,665,37.0,Yhe
2006-08-14,642,0.0,Hia Kuma
2006-08-15,623,0.0,Hia Kuma
2006-08-16,609,0.0,Hia Kuma
2006-08-17,581,0.0,Hia Kuma
2006-08-18,557,17.7,Hia Kuma
2006-08-19,590,0.0,Yhe
2006-08-20,620,1.5,Yhe
2006-08-21,632,0.0,Yhe
2006-08-22,630,24.0,Yhe
2006-08-23,592,0.0,Hia Yuñari Kuma
2006-08-24,577,2.1,Hia Yuñari Kuma
2006-08-25,568,0.0,Hia Yuñari Kuma
2006-08-26,550,0.0,Hia Yuñari Kuma
2006-08-27,540,0.0,Hia Yuñari Kuma
2006-08-28,520,0.0,Hia Yuñari Kuma
2006-08-29,507,0.0,Hia Yuñari Kuma
2006-08-30,509,20.3,Hia Yuñari Kuma
2006-08-31,481,0.0,Hia Yuñari Kuma
2006-09-01,446,0.0,Hia Yuñari Kuma
2006-09-02,420,0.0,Hia Yuñari Kuma
2006-09-03,420,14.4,Yurara
2006-09-04,449,0.0,Yurara
2006-09-05,481,16.2,Yurara
2006-09-06,534,24.3,Yurara
2006-09-07,592,0.0,Yurara
2006-09-08,602,2.7,Yurara
2006-09-09,581,0.0,
2006-09-10,550,5.0,
2006-09-11,537,0.5,
2006-09-12,530,32.4,Hia Diara Kuma
2006-09-13,573,3.4,Hia Diara Kuma
2006-09-14,636,0.1,Hia Diara Kuma
2006-09-15,647,0.0,Hia Diara Kuma
2006-09-16,588,0.0,Hia Diara Kuma
2006-09-17,514,6.7,Hia Diara Kuma
2006-09-18,483,11.2,Hia Diara Kuma
2006-09-19,452,1.6,Hia Diara Kuma
2006-09-20,435,0.5,Hia Diara Kuma
2006-09-21,418,7.4,Hia Diara Kuma
2006-09-22,402,0.1,Hia Diara Kuma
2006-09-23,382,7.5,Hia Diara Kuma
2006-09-24,361,0.0,Hia Diara Kuma
2006-09-25,353,0.0,Hia Diara Kuma
2006-09-26,347,0.8,Hia Diara Kuma
2006-09-27,354,0.0,Hia Diara Kuma
2006-09-28,368,0.0,Hia Diara Kuma
2006-09-29,381,0.5,Hia Diara Kuma
2006-09-30,399,7.0,Hia Diara Kuma
2006-10-01,449,44.3,
2006-10-02,465.5,0.0,
2006-10-03,473.5,12.0,Hia Utaphea Keose Kuma
2006-10-04,457.5,0.0,Hia Utaphea Keose Kuma
2006-10-05,421.5,0.0,Hia Utaphea Keose Kuma
2006-10-06,393.5,0.0,Hia Utaphea Keose Kuma
2006-10-07,370.5,0.0,Hia Utaphea Keose Kuma
2006-10-08,361,5.8,Hia Utaphea Keose Kuma
2006-10-09,375,2.0,Hia Utaphea Keose Kuma
2006-10-10,388.5,1.4,Hia Utaphea Keose Kuma
2006-10-11,402.5,2.7,Bihpia
2006-10-12,415,0.0,Bihpia
2006-10-13,421.5,14.5,Bihpia
2006-10-14,409,0.0,Hia Kuma
2006-10-15,396.5,0.0,Hia Kuma
2006-10-16,394.5,7.9,Hia Kuma
2006-10-17,397,11.8,Hia Kuma
2006-10-18,377,0.0,Hia Kuma
2006-10-19,361.5,0.0,Hia Kuma
2006-10-20,353.5,0.0,Hia Kuma
2006-10-21,347.5,0.0,Hia Kuma
2006-10-22,366.5,3.4,Hia Kuma
2006-10-23,376.5,56.8,Hia Kuma
2006-10-24,420,0.0,Hia Kuma
2006-10-25,461,3.2,Hia Kuma
2006-10-26,434.5,0.0,Hia Kuma
2006-10-27,400,8.0,Hia Kuma
2006-10-28,359.5,0.0,Hia Kuma
2006-10-29,350.5,28.4,Hia Kuma
2006-10-30,357,0.0,Hia Kuma
2006-10-31,387.5,4.5,Hia Kuma